id;title;description;availability;condition;price;sale_price;link;image_link;brand;custom_label_0
030800-u.01;Umivalnik CeraStyle FRAME 65;Umivalnik CeraStyle Frame s svojim modernim videzom vnese v vašo kopalnico preprostost in lepoto. Vse z ekskluzivnim okusom za umivalnike preseneti s svojim stilom in trajnostno obliko.        Model : Frame  Oznaka: 030800  Barva : bela  Material : keramika  Montaža : stenska ali na omarico  Dimenzije : 65x45 cm           ;in stock;new;81.65 EUR;;https://www.funtrade.net/umivalnik-cerastyle-frame-65.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_frame_030800.jpg;Funtrade;1791,2013,2529,2653,2917,3027
030900-u.01;Umivalnik CeraStyle FRAME 50;Umivalnik CeraStyle Frame s svojim modernim videzom vnese v vašo kopalnico preprostost in lepoto. Vse z ekskluzivnim okusom za umivalnike preseneti s svojim stilom in trajnostno obliko.        Model : Frame  Oznaka: 039800  Barva : bela  Material : keramika  Montaža : stenska ali na omarico  Dimenzije : 50x38 cm           ;in stock;new;63.50 EUR;;https://www.funtrade.net/umivalnik-cerastyle-frame-50.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_frame_030900.jpg;Funtrade;1791,2013,2529,2653,2917,3027
001800-u.01;Umivalnik CeraStyle FRAME 50 - levi;Umivalnik CeraStyle Frame s svojim modernim videzom vnese v vašo kopalnico preprostost in lepoto. Vse z ekskluzivnim okusom za umivalnike preseneti s svojim stilom in trajnostno obliko.        Model : Frame  Oznaka: 001800  Barva : bela  Material : keramika  Montaža : stenski, za na omarico  Dimenzije : 50x28 cm           ;in stock;new;51.42 EUR;;https://www.funtrade.net/umivalnik-cerastyle-frame-50-levi.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_frame_001800.jpg;Funtrade;1791,2013,2529,2653,2917,3027
001700-u.01;Umivalnik CeraStyle FRAME 50 - desni;Umivalnik CeraStyle Frame s svojim modernim videzom vnese v vašo kopalnico preprostost in lepoto. Vse z ekskluzivnim okusom za umivalnike preseneti s svojim stilom in trajnostno obliko.        Model : Frame  Oznaka: 001700  Barva : bela  Material : keramika  Montaža : stenski, za na omarico  Dimenzije : 50x28 cm           ;in stock;new;51.42 EUR;;https://www.funtrade.net/umivalnik-cerastyle-frame-50-desni.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_frame_001700_.jpg;Funtrade;1791,2013,2529,2653,2917,3027
043900-u.01;Umivalnik Cerastyle HARMONY 100 - desni;Umivalnik CeraStyle Harmony s svojim modernim videzom vnese v vašo kopalnico preprostost in lepoto. Vse z ekskluzivnim okusom. Serija Harmony preseneti s svojim stilom in trajnostno obliko.   Osnovni podatki:    Serija: HARMONY  Model: 043900  Dimenzija: 100x37,5x26,4 cm  Barva: bela   Material: keramika  Izvedba/montaža: stenska/za na omarico  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu. ;in stock;new;177.88 EUR;;https://www.funtrade.net/umivalnik-cerastyle-harmony-100-desni.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_harmony_043900.jpg;Funtrade;1791,2013,2529,2653,2917,3028
044000-u.01;Umivalnik Cerastyle HARMONY 100 - levi;Umivalnik CeraStyle Harmony s svojim modernim videzom vnese v vašo kopalnico preprostost in lepoto. Vse z ekskluzivnim okusom. Serija Harmony preseneti s svojim stilom in trajnostno obliko.   Osnovni podatki:    Serija: HARMONY  Model: 043900  Dimenzija: 100x37,5x26,4 cm  Barva: bela   Material: keramika  Izvedba/montaža: stenska/za na omarico  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu. ;in stock;new;177.88 EUR;;https://www.funtrade.net/umivalnik-cerastyle-harmony-100-levi.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_harmony_044000.jpg;Funtrade;1791,2013,2529,2653,2917,3028
043800-u.01;Umivalnik Cerastyle HARMONY 80;Umivalnik CeraStyle Harmony s svojim modernim videzom vnese v vašo kopalnico preprostost in lepoto. Vse z ekskluzivnim okusom. Serija Harmony preseneti s svojim stilom in trajnostno obliko.   Osnovni podatki:    Serija: HARMONY  Model: 043800  Dimenzija: 80x37,5x26,4 cm  Barva: bela   Material: keramika  Izvedba/montaža: stenska/za na omarico  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu. ;in stock;new;141.13 EUR;;https://www.funtrade.net/umivalnik-cerastyle-harmony-80.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_harmony_043800.jpg;Funtrade;1791,2013,2529,2653,2917,3028
090800-u.01;Umivalnik CeraStyle ANOVA 100 ;Umivalniki Anova so oblikovani predvsem za tiste, ki uživajo v preživljanju časa v kopalnici.  Vir navdiha je padec slapa. Umivalnik je oblikovan v obliki sapa, ki pomaga občutiti terapevtsko moč vode. Ergonomska struktura in praktične lastnosti ščitijo pohištvo pred vodo.    Osnovni podatki:    Serija: ANOVA  Model: 090800  Dimenzija: 100x50 cm  Barva: bela   Material: keramika  Izvedba/montaža: stenska/za na omarico  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu. ;in stock;new;156.54 EUR;;https://www.funtrade.net/umivalnik-cerastyle-anova-100.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_anova_090800.jpg;Funtrade;1791,2013,2529,2653,2917,3029
090700-u.01;Umivalnik CeraStyle ANOVA 80 ;Umivalniki Anova so oblikovani predvsem za tiste, ki uživajo v preživljanju časa v kopalnici.  Vir navdiha je padec slapa. Umivalnik je oblikovan v obliki sapa, ki pomaga občutiti terapevtsko moč vode. Ergonomska struktura in praktične lastnosti ščitijo pohištvo pred vodo.    Osnovni podatki:    Serija: ANOVA  Model: 090700  Dimenzija: 80x50 cm  Barva: bela   Material: keramika  Izvedba/montaža: stenska/za na omarico  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu. ;in stock;new;116.94 EUR;;https://www.funtrade.net/umivalnik-cerastyle-anova-80.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_anova_090700.jpg;Funtrade;1791,2013,2529,2653,2917,3029
090600-u.01;Umivalnik CeraStyle ANOVA 65;Umivalniki Anova so oblikovani predvsem za tiste, ki uživajo v preživljanju časa v kopalnici.  Vir navdiha je padec slapa. Umivalnik je oblikovan v obliki sapa, ki pomaga občutiti terapevtsko moč vode. Ergonomska struktura in praktične lastnosti ščitijo pohištvo pred vodo.    Osnovni podatki:    Serija: ANOVA  Model: 090600  Dimenzija: 65x50 cm  Barva: bela   Material: keramika  Izvedba/montaža: stenska/za na omarico  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu. ;in stock;new;100.80 EUR;;https://www.funtrade.net/umivalnik-cerastyle-anova-65.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_anova_090600.jpg;Funtrade;1791,2013,2529,2653,2917,3029
